,Event Type,Event ID,Event Time (UTC),Duration (s),Extra Data
105,GS_pass,AOS,2024-11-07 10:47:15.998557962,609.5329001083403,"{'TCA': '2024-11-07T10:52:21.704178114', 'MAX_EL': 54.62466200235367, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT19', 'LOS': '2024-11-07T10:57:25.531458070'}"
106,GS_pass,LOS,2024-11-07 10:57:25.531458070,609.5329001083403,"{'TCA': '2024-11-07T10:52:21.704178114', 'MAX_EL': 54.62466200235367, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT19', 'AOS': None}"
107,GS_pass,AOS,2024-11-07 11:02:19.113854705,198.8440978651776,"{'TCA': '2024-11-07T11:03:58.698628866', 'MAX_EL': 6.26441296047219, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0105', 'LOS': '2024-11-07T11:05:37.957952570'}"
108,GS_pass,LOS,2024-11-07 11:05:37.957952570,198.8440978651776,"{'TCA': '2024-11-07T11:03:58.698628866', 'MAX_EL': 6.26441296047219, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0105', 'AOS': None}"
109,GS_pass,AOS,2024-11-07 11:43:55.413532019,621.9748279222079,"{'TCA': '2024-11-07T11:49:08.707662286', 'MAX_EL': 87.48725808898733, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0108', 'LOS': '2024-11-07T11:54:17.388359941'}"
110,Eclipse,Entry,2024-11-07 11:48:23.024665000,2079.5006474831134,"{'End Time': datetime.datetime(2024, 11, 7, 12, 23, 2, 525312)}"
111,GS_pass,LOS,2024-11-07 11:54:17.388359941,621.9748279222079,"{'TCA': '2024-11-07T11:49:08.707662286', 'MAX_EL': 87.48725808898733, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0108', 'AOS': None}"
112,GS_pass,AOS,2024-11-07 12:22:53.495232084,615.9726253881524,"{'TCA': '2024-11-07T12:28:02.318859592', 'MAX_EL': 82.42978774689479, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT20', 'LOS': '2024-11-07T12:33:09.467857472'}"
113,Eclipse,Exit,2024-11-07 12:23:02.525312000,2079.5006474831134,"{'Start Time': datetime.datetime(2024, 11, 7, 11, 48, 23, 24665)}"
114,GS_pass,LOS,2024-11-07 12:33:09.467857472,615.9726253881524,"{'TCA': '2024-11-07T12:28:02.318859592', 'MAX_EL': 82.42978774689479, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT20', 'AOS': None}"
115,GS_pass,AOS,2024-11-07 12:34:45.023362944,607.9443386158049,"{'TCA': '2024-11-07T12:39:50.453843414', 'MAX_EL': 79.09971496159295, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0106', 'LOS': '2024-11-07T12:44:52.967701560'}"
116,GS_pass,LOS,2024-11-07 12:44:52.967701560,607.9443386158049,"{'TCA': '2024-11-07T12:39:50.453843414', 'MAX_EL': 79.09971496159295, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0106', 'AOS': None}"
117,GS_pass,AOS,2024-11-07 13:20:33.587071264,395.3752573992451,"{'TCA': '2024-11-07T13:23:51.686818708', 'MAX_EL': 11.373486341566453, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0109', 'LOS': '2024-11-07T13:27:08.962328663'}"
118,Eclipse,Entry,2024-11-07 13:24:47.756084000,2079.5281577606506,"{'End Time': datetime.datetime(2024, 11, 7, 13, 59, 27, 284242)}"
119,GS_pass,LOS,2024-11-07 13:27:08.962328663,395.3752573992451,"{'TCA': '2024-11-07T13:23:51.686818708', 'MAX_EL': 11.373486341566453, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0109', 'AOS': None}"
120,GS_pass,AOS,2024-11-07 13:58:17.754272871,606.0476541573079,"{'TCA': '2024-11-07T14:03:21.347336102', 'MAX_EL': 55.52793833000207, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT21', 'LOS': '2024-11-07T14:08:23.801927028'}"
121,Eclipse,Exit,2024-11-07 13:59:27.284242000,2079.5281577606506,"{'Start Time': datetime.datetime(2024, 11, 7, 13, 24, 47, 756084)}"
122,GS_pass,LOS,2024-11-07 14:08:23.801927028,606.0476541573079,"{'TCA': '2024-11-07T14:03:21.347336102', 'MAX_EL': 55.52793833000207, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT21', 'AOS': None}"
123,GS_pass,AOS,2024-11-07 14:13:30.494507236,108.74573195753987,"{'TCA': '2024-11-07T14:14:24.880492943', 'MAX_EL': 5.382474744620551, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0107', 'LOS': '2024-11-07T14:15:19.240239193'}"
124,GS_pass,LOS,2024-11-07 14:15:19.240239193,108.74573195753987,"{'TCA': '2024-11-07T14:14:24.880492943', 'MAX_EL': 5.382474744620551, 'GS_NAME': 'AZORES01', 'Pass_ID': 'AZORES0107', 'AOS': None}"
125,Eclipse,Entry,2024-11-07 15:01:12.557129000,2079.521096175418,"{'End Time': datetime.datetime(2024, 11, 7, 15, 35, 52, 78225)}"
126,GS_pass,AOS,2024-11-07 15:33:28.534017888,600.9883051925693,"{'TCA': '2024-11-07T15:38:29.354716772', 'MAX_EL': 49.185923712376635, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT22', 'LOS': '2024-11-07T15:43:29.522323081'}"
127,Eclipse,Exit,2024-11-07 15:35:52.078225000,2079.521096175418,"{'Start Time': datetime.datetime(2024, 11, 7, 15, 1, 12, 557129)}"
128,GS_pass,LOS,2024-11-07 15:43:29.522323081,600.9883051925693,"{'TCA': '2024-11-07T15:38:29.354716772', 'MAX_EL': 49.185923712376635, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT22', 'AOS': None}"
129,Eclipse,Entry,2024-11-07 16:37:37.430829000,2079.4958222156165,"{'End Time': datetime.datetime(2024, 11, 7, 17, 12, 16, 926651)}"
130,GS_pass,AOS,2024-11-07 16:47:59.787385882,604.6667085740964,"{'TCA': '2024-11-07T16:53:02.566319463', 'MAX_EL': 59.52498627952027, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0106', 'LOS': '2024-11-07T16:58:04.454094456'}"
