SatID,start_time,end_time,gsID,base_time
FF02,2024-11-14 19:48:13,2024-11-14 19:58:54,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-14 19:54:21,2024-11-14 19:58:54,MAU01,2024-11-13 12:30:44
FF03,2024-11-14 20:20:33,2024-11-14 20:31:07,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-14 20:35:38,2024-11-14 20:36:36,AWARUA01,2024-11-13 12:30:44
FF01,2024-11-14 20:52:55,2024-11-14 21:03:17,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-14 21:04:14,2024-11-14 21:11:06,AWARUA01,2024-11-13 12:30:44
FF02,2024-11-14 21:25:28,2024-11-14 21:35:32,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-14 21:34:45,2024-11-14 21:35:32,AWARUA01,2024-11-13 12:30:44
FF03,2024-11-14 21:58:07,2024-11-14 22:07:47,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-14 22:06:00,2024-11-14 22:07:47,AWARUA01,2024-11-13 12:30:44
FF01,2024-11-14 22:30:48,2024-11-14 22:40:00,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-14 22:37:48,2024-11-14 22:40:00,AWARUA01,2024-11-13 12:30:44
FF02,2024-11-14 23:03:41,2024-11-14 23:12:17,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-14 23:10:02,2024-11-14 23:12:17,AWARUA01,2024-11-13 12:30:44
FF03,2024-11-14 23:36:41,2024-11-14 23:44:35,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-14 23:42:56,2024-11-14 23:44:35,AWARUA01,2024-11-13 12:30:44
FF01,2024-11-15 00:09:42,2024-11-15 00:16:50,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-15 00:16:47,2024-11-15 00:16:50,AWARUA01,2024-11-13 12:30:44
FF02,2024-11-15 00:42:54,2024-11-15 00:49:10,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-15 01:01:18,2024-11-15 01:06:43,JEJU01,2024-11-13 12:30:44
FF03,2024-11-15 01:16:11,2024-11-15 01:21:31,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-15 01:31:46,2024-11-15 01:40:54,JEJU01,2024-11-13 12:30:44
FF01,2024-11-15 01:49:27,2024-11-15 01:53:50,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-15 02:03:14,2024-11-15 02:13:41,JEJU01,2024-11-13 12:30:44
FF02,2024-11-15 02:22:48,2024-11-15 02:26:17,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-15 02:35:16,2024-11-15 02:45:46,JEJU01,2024-11-13 12:30:44
FF03,2024-11-15 02:56:05,2024-11-15 02:58:51,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-15 03:07:46,2024-11-15 03:17:08,JEJU01,2024-11-13 12:30:44
FF01,2024-11-15 03:29:06,2024-11-15 03:31:34,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-15 03:40:52,2024-11-15 03:47:27,JEJU01,2024-11-13 12:30:44
FF02,2024-11-15 04:01:53,2024-11-15 04:04:39,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-15 04:34:26,2024-11-15 04:37:56,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-15 05:04:56,2024-11-15 05:08:08,MAU01,2024-11-13 12:30:44
FF01,2024-11-15 05:06:49,2024-11-15 05:08:08,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-15 05:33:57,2024-11-15 05:42:33,MAU01,2024-11-13 12:30:44
FF02,2024-11-15 05:39:12,2024-11-15 05:42:33,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-15 06:04:59,2024-11-15 06:15:21,MAU01,2024-11-13 12:30:44
FF03,2024-11-15 06:11:33,2024-11-15 06:15:21,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-15 06:36:54,2024-11-15 06:47:28,MAU01,2024-11-13 12:30:44
FF01,2024-11-15 06:43:49,2024-11-15 06:47:28,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-15 07:09:38,2024-11-15 07:18:49,MAU01,2024-11-13 12:30:44
FF02,2024-11-15 07:16:08,2024-11-15 07:18:49,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-15 07:44:00,2024-11-15 07:48:48,MAU01,2024-11-13 12:30:44
FF03,2024-11-15 07:48:26,2024-11-15 07:48:48,SVALBARD01,2024-11-13 12:30:44
FF01,2024-11-15 08:20:39,2024-11-15 08:29:51,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-15 08:52:56,2024-11-15 09:02:36,SVALBARD01,2024-11-13 12:30:44
FF03,2024-11-15 09:25:11,2024-11-15 09:35:15,SVALBARD01,2024-11-13 12:30:44
FF02,2024-11-15 09:54:04,2024-11-15 09:56:09,AWARUA01,2024-11-13 12:30:44
FF01,2024-11-15 09:57:22,2024-11-15 10:07:43,SVALBARD01,2024-11-13 12:30:44
